Timestamp,West,North,South,Houston,Panhandle,HB_HUBAVG.lmp,west,North,South,Houston,Pan
2025-12-24 00:00:00,-12.93,7.710000000000001,1.25,3.9800000000000004,-18.25,16.56,3.63,24.27,17.81,20.54,-1.69
2025-12-24 00:05:00,-12.32,7.509999999999998,1.0399999999999991,3.7699999999999996,-18.95,17.39,5.07,24.9,18.43,21.16,-1.56
2025-12-24 00:10:00,-13.159999999999998,8.25,0.9100000000000001,4,-18.43,16.74,3.58,24.99,17.65,20.74,-1.69
2025-12-24 00:15:00,-12.82,8.049999999999997,0.889999999999997,3.8999999999999986,-18.35,16.69,3.87,24.74,17.58,20.59,-1.66
2025-12-24 00:20:00,-13.48,8.46,0.9299999999999997,4.099999999999998,-18.6,16.89,3.41,25.35,17.82,20.99,-1.71
2025-12-24 00:25:00,-13.410000000000002,8.419999999999998,0.9299999999999997,4.079999999999998,-17.930000000000003,16.17,2.76,24.59,17.1,20.25,-1.76
2025-12-24 00:30:00,-13.41,8.41,0.9299999999999997,4.079999999999998,-17.92,16.16,2.75,24.57,17.09,20.24,-1.76
2025-12-24 00:35:00,-13.45,8.32,1.1300000000000026,4.02,-17.84,16.06,2.61,24.38,17.19,20.08,-1.78
2025-12-24 00:40:00,-13.32,8.13,1.2500000000000018,3.92,-17.64,15.85,2.53,23.98,17.1,19.77,-1.79
2025-12-24 00:45:00,-13.52,7.870000000000001,1.7199999999999989,3.9499999999999993,-17.68,15.89,2.37,23.76,17.61,19.84,-1.79
2025-12-24 00:50:00,-13.740000000000002,7.979999999999997,1.759999999999998,4,-17.96,16.17,2.43,24.15,17.93,20.17,-1.79
2025-12-24 00:55:00,-13.750000000000002,7.93,1.8399999999999999,3.969999999999999,-17.96,16.17,2.42,24.1,18.01,20.14,-1.79
2025-12-24 01:00:00,-13.719999999999999,8,1.6900000000000013,4.010000000000002,-17.939999999999998,16.15,2.43,24.15,17.84,20.16,-1.79
2025-12-24 01:05:00,-13.639999999999999,7.960000000000001,1.6800000000000033,4,-18.099999999999998,16.33,2.69,24.29,18.01,20.33,-1.77
2025-12-24 01:10:00,-13.72,7.98,1.7199999999999989,4,-18.09,16.32,2.6,24.3,18.04,20.32,-1.77
2025-12-24 01:15:00,-13.67,7.969999999999999,1.7100000000000009,4,-17.88,16.09,2.42,24.06,17.8,20.09,-1.79
2025-12-24 01:20:00,-13.67,7.520000000000001,2.4099999999999984,3.74,-17.79,15.99,2.32,23.51,18.4,19.73,-1.8
2025-12-24 01:25:00,-13.530000000000001,7.759999999999998,1.889999999999997,3.889999999999997,-18.020000000000003,16.26,2.73,24.02,18.15,20.15,-1.76
2025-12-24 01:30:00,-13.87,8.11,1.6999999999999993,4.07,-18.13,16.34,2.47,24.45,18.04,20.41,-1.79
2025-12-24 01:35:00,-13.759999999999998,8.170000000000002,1.5,4.110000000000003,-18.02,16.24,2.48,24.41,17.74,20.35,-1.78
2025-12-24 01:40:00,-12.96,7.68,1.3999999999999986,3.879999999999999,-18.130000000000003,16.44,3.48,24.12,17.84,20.32,-1.69
2025-12-24 01:45:00,-13.549999999999999,7.800000000000001,1.8399999999999999,3.91,-18.15,16.4,2.85,24.2,18.24,20.31,-1.75
2025-12-24 01:50:00,-12.749999999999998,7.09,2.1000000000000014,3.5600000000000023,-18.369999999999997,16.72,3.97,23.81,18.82,20.28,-1.65
2025-12-24 01:55:00,-12.92,7.460000000000001,1.7100000000000009,3.7600000000000016,-17.88,16.16,3.24,23.62,17.87,19.92,-1.72
2025-12-24 02:00:00,-12.850000000000001,7.610000000000001,1.4099999999999984,3.839999999999998,-17.560000000000002,15.81,2.96,23.42,17.22,19.65,-1.75
2025-12-24 02:05:00,-11.690000000000001,6.77,1.5,3.4299999999999997,-18.46,16.89,5.2,23.66,18.39,20.32,-1.57
2025-12-24 02:10:00,-9.98,6.099999999999998,1.1499999999999986,2.75,-19.09,17.55,7.57,23.65,18.7,20.3,-1.54
2025-12-24 02:15:00,-12.11,6.710000000000001,1.9699999999999989,3.4400000000000013,-18.439999999999998,16.86,4.75,23.57,18.83,20.3,-1.58
2025-12-24 02:20:00,-12.790000000000001,6.82,2.5500000000000007,3.41,-18.53,16.89,4.1,23.71,19.44,20.3,-1.64
2025-12-24 02:25:00,-12.099999999999998,6.490000000000002,2.3100000000000023,3.2900000000000027,-18.56,16.99,4.89,23.48,19.3,20.28,-1.57
2025-12-24 02:30:00,-9.7,5.600000000000001,1.2199999999999989,2.8900000000000006,-17.96,16.57,6.87,22.17,17.79,19.46,-1.39
2025-12-24 02:35:00,-8.65,5.149999999999999,0.8900000000000006,2.6099999999999994,-18.56,17.32,8.67,22.47,18.21,19.93,-1.24
2025-12-24 02:40:00,-7.630000000000001,4.859999999999999,0.48999999999999844,2.2699999999999996,-19.09,17.96,10.33,22.82,18.45,20.23,-1.13
2025-12-24 02:45:00,-8.67,4.699999999999999,1.4699999999999989,2.5100000000000016,-18.71,17.5,8.83,22.2,18.97,20.01,-1.21
2025-12-24 02:50:00,-9.040000000000001,5.109999999999999,1.2699999999999996,2.669999999999998,-18.77,17.53,8.49,22.64,18.8,20.2,-1.24
2025-12-24 02:55:00,-8.520000000000001,4.91,1.0700000000000003,2.5599999999999987,-18.790000000000003,17.6,9.08,22.51,18.67,20.16,-1.19
2025-12-24 03:00:00,-6.59,3.92,0.7400000000000002,1.92,-16.69,15.47,8.88,19.39,16.21,17.39,-1.22
2025-12-24 03:05:00,-6.729999999999999,4.07,0.6800000000000033,1.990000000000002,-18.389999999999997,17.33,10.6,21.4,18.01,19.32,-1.06
2025-12-24 03:10:00,-4.860000000000001,2.879999999999999,0.5499999999999972,1.4100000000000001,-19.07,18.26,13.4,21.14,18.81,19.67,-0.81
2025-12-24 03:15:00,-3.6700000000000017,2.16,0.4499999999999993,1.0599999999999987,-18.76,18.03,14.36,20.19,18.48,19.09,-0.73
2025-12-24 03:20:00,-2.0100000000000016,1.120000000000001,0.3200000000000003,0.5599999999999987,-19.86,19.41,17.4,20.53,19.73,19.97,-0.45
2025-12-24 03:25:00,-1.9200000000000017,1.1999999999999993,0.129999999999999,0.5799999999999983,-19.87,19.42,17.5,20.62,19.55,20,-0.45
2025-12-24 03:30:00,-2.1799999999999997,1.3599999999999994,0.14999999999999858,0.6600000000000001,-19.34,18.82,16.64,20.18,18.97,19.48,-0.52
